x,NC,CS,OC
30.7,12.3822,6.3989,-2.0238
30.8,12.3905,6.4033,-2.0271
30.9,12.3987,6.4077,-2.0304
31,12.4069,6.4121,-2.0337
31.1,12.415,6.4164,-2.0371
31.2,12.423,6.4206,-2.0405
31.3,12.431,6.4247,-2.0439
31.4,12.439,6.4289,-2.0473
31.5,12.4468,6.4329,-2.0508
31.6,12.4546,6.4369,-2.0543
31.7,12.4623,6.4409,-2.0578
31.8,12.47,6.4448,-2.0613
31.9,12.4776,6.4486,-2.0648
32,12.4852,6.4524,-2.0684
32.1,12.4926,6.4562,-2.072
32.2,12.5001,6.4599,-2.0755
32.3,12.5074,6.4635,-2.0791
32.4,12.5147,6.4671,-2.0827
32.5,12.522,6.4707,-2.0864
32.6,12.5291,6.4742,-2.09
32.7,12.5363,6.4777,-2.0936
32.8,12.5433,6.4811,-2.0973
32.9,12.5503,6.4845,-2.1009
33,12.5573,6.4879,-2.1046
33.1,12.5642,6.4912,-2.1083
33.2,12.571,6.4944,-2.1119
33.3,12.5778,6.4977,-2.1156
33.4,12.5845,6.5009,-2.1193
33.5,12.5912,6.504,-2.123
33.6,12.5978,6.5072,-2.1267
33.7,12.6043,6.5103,-2.1303
33.8,12.6108,6.5133,-2.134
33.9,12.6173,6.5164,-2.1377
34,12.6237,6.5194,-2.1414
34.1,12.63,6.5223,-2.1451
34.2,12.6363,6.5253,-2.1487
34.3,12.6426,6.5282,-2.1524
34.4,12.6487,6.5311,-2.156
34.5,12.6549,6.534,-2.1597
34.6,12.661,6.5368,-2.1633
34.7,12.667,6.5397,-2.167
34.8,12.673,6.5425,-2.1706
34.9,12.679,6.5453,-2.1742
35,12.6849,6.5481,-2.1779
35.1,12.6907,6.5508,-2.1815
35.2,12.6965,6.5536,-2.1851
35.3,12.7023,6.5563,-2.1886
35.4,12.708,6.5591,-2.1922
35.5,12.7137,6.5618,-2.1958
35.6,12.7193,6.5645,-2.1993
35.7,12.7249,6.5672,-2.2028
35.8,12.7305,6.5699,-2.2063
35.9,12.736,6.5726,-2.2098
36,12.7414,6.5753,-2.2133
36.1,12.7468,6.578,-2.2168
36.2,12.7522,6.5807,-2.2202
36.3,12.7576,6.5834,-2.2236
36.4,12.7629,6.5861,-2.2271
36.5,12.7681,6.5888,-2.2304
36.6,12.7734,6.5915,-2.2338
36.7,12.7786,6.5942,-2.2372
36.8,12.7837,6.5969,-2.2405
36.9,12.7888,6.5997,-2.2438
37,12.7939,6.6024,-2.2471
37.1,12.799,6.6052,-2.2503
37.2,12.804,6.608,-2.2536
37.3,12.8089,6.6107,-2.2568
37.4,12.8139,6.6135,-2.26
37.5,12.8188,6.6163,-2.2631
37.6,12.8236,6.6191,-2.2662
37.7,12.8284,6.6219,-2.2693
