x,OC,CS,NC
1.94,300.51,651.38,805.33
1.95,300.54,651.37,804.25
1.96,300.57,651.37,803.19
1.97,300.6,651.37,802.14
1.98,300.63,651.36,801.1
1.99,300.66,651.36,800.07
2,300.69,651.36,799.06
2.01,300.73,651.35,798.05
2.02,300.76,651.35,797.06
2.03,300.79,651.35,796.07
2.04,300.83,651.34,795.1
2.05,300.86,651.34,794.14
2.06,300.9,651.34,793.19
2.07,300.94,651.34,792.25
2.08,300.97,651.33,791.32
2.09,301.01,651.33,790.4
2.1,301.05,651.33,789.49
2.11,301.09,651.32,788.59
2.12,301.13,651.32,787.7
2.13,301.17,651.32,786.82
2.14,301.21,651.31,785.96
2.15,301.26,651.31,785.1
2.16,301.3,651.31,784.25
2.17,301.34,651.3,783.41
2.18,301.39,651.3,782.58
2.19,301.43,651.3,781.76
2.2,301.48,651.3,780.95
2.21,301.52,651.29,780.15
2.22,301.57,651.29,779.36
2.23,301.62,651.29,778.57
2.24,301.67,651.28,777.8
2.25,301.72,651.28,777.03
2.26,301.77,651.28,776.27
2.27,301.82,651.27,775.52
2.28,301.87,651.27,774.78
2.29,301.92,651.27,774.05
2.3,301.97,651.26,773.32
2.31,302.03,651.26,772.6
2.32,302.08,651.26,771.89
2.33,302.14,651.26,771.18
2.34,302.19,651.25,770.49
2.35,302.25,651.25,769.8
2.36,302.31,651.25,769.11
2.37,302.37,651.24,768.44
2.38,302.42,651.24,767.77
2.39,302.48,651.24,767.1
2.4,302.54,651.23,766.45
2.41,302.61,651.23,765.8
2.42,302.67,651.23,765.15
2.43,302.73,651.22,764.51
2.44,302.79,651.22,763.88
2.45,302.86,651.22,763.25
2.46,302.92,651.22,762.63
2.47,302.99,651.21,762.02
2.48,303.05,651.21,761.4
2.49,303.12,651.21,760.8
2.5,303.19,651.2,760.2
2.51,303.26,651.2,759.6
2.52,303.33,651.2,759.01
2.53,303.4,651.19,758.43
2.54,303.47,651.19,757.85
2.55,303.54,651.19,757.27
2.56,303.61,651.18,756.7
2.57,303.69,651.18,756.13
2.58,303.76,651.18,755.57
2.59,303.84,651.18,755.01
2.6,303.91,651.17,754.45
2.61,303.99,651.17,753.9
2.62,304.07,651.17,753.36
2.63,304.15,651.16,752.82
2.64,304.23,651.16,752.28
2.65,304.31,651.16,751.74
2.66,304.39,651.15,751.21
2.67,304.47,651.15,750.68
2.68,304.55,651.15,750.16
2.69,304.64,651.14,749.63
2.7,304.72,651.14,749.12
2.71,304.81,651.14,748.6
2.72,304.89,651.14,748.09
2.73,304.98,651.13,747.58
2.74,305.07,651.13,747.07
2.75,305.16,651.13,746.57
2.76,305.25,651.12,746.07
2.77,305.34,651.12,745.57
2.78,305.43,651.12,745.08
2.79,305.52,651.11,744.59
2.8,305.62,651.11,744.1
2.81,305.71,651.11,743.61
2.82,305.81,651.1,743.13
2.83,305.91,651.1,742.65
2.84,306,651.1,742.17
2.85,306.1,651.1,741.69
2.86,306.2,651.09,741.22
2.87,306.3,651.09,740.74
2.88,306.41,651.09,740.27
2.89,306.51,651.08,739.81
2.9,306.61,651.08,739.34
2.91,306.72,651.08,738.88
2.92,306.83,651.07,738.42
2.93,306.94,651.07,737.96
2.94,307.04,651.07,737.51
2.95,307.15,651.06,737.05
2.96,307.27,651.06,736.6
2.97,307.38,651.06,736.15
2.98,307.49,651.06,735.7
2.99,307.61,651.05,735.26
3,307.72,651.05,734.81
3.01,307.84,651.05,734.37
3.02,307.96,651.04,733.93
3.03,308.08,651.04,733.49
3.04,308.21,651.04,733.06
3.05,308.33,651.03,732.62
3.06,308.45,651.03,732.19
3.07,308.58,651.03,731.76
3.08,308.71,651.02,731.33
3.09,308.84,651.02,730.91
3.1,308.97,651.02,730.48
3.11,309.1,651.02,730.06
3.12,309.24,651.01,729.64
3.13,309.37,651.01,729.22
3.14,309.51,651.01,728.8
3.15,309.65,651,728.38
3.16,309.79,651,727.97
3.17,309.94,651,727.56
3.18,310.08,650.99,727.15
3.19,310.23,650.99,726.74
3.2,310.38,650.99,726.33
3.21,310.53,650.98,725.92
3.22,310.68,650.98,725.52
3.23,310.84,650.98,725.12
3.24,310.99,650.98,724.72
3.25,311.15,650.97,724.32
3.26,311.31,650.97,723.92
3.27,311.48,650.97,723.52
3.28,311.64,650.96,723.13
3.29,311.81,650.96,722.74
3.3,311.98,650.96,722.35
3.31,312.16,650.95,721.96
3.32,312.33,650.95,721.57
3.33,312.51,650.95,721.18
3.34,312.69,650.94,720.8
3.35,312.87,650.94,720.41
3.36,313.06,650.94,720.03
3.37,313.24,650.94,719.65
3.38,313.43,650.93,719.27
3.39,313.63,650.93,718.89
3.4,313.82,650.93,718.52
3.41,314.02,650.92,718.14
3.42,314.22,650.92,717.77
3.43,314.43,650.92,717.4
3.44,314.63,650.91,717.03
3.45,314.84,650.91,716.66
3.46,315.06,650.91,716.3
3.47,315.27,650.9,715.93
3.48,315.49,650.9,715.57
3.49,315.71,650.9,715.2
3.5,315.94,650.9,714.84
3.51,316.17,650.89,714.48
3.52,316.4,650.89,714.13
3.53,316.64,650.89,713.77
3.54,316.87,650.88,713.42
3.55,317.12,650.88,713.06
3.56,317.36,650.88,712.71
3.57,317.61,650.87,712.36
3.58,317.86,650.87,712.01
3.59,318.12,650.87,711.67
3.6,318.38,650.86,711.32
3.61,318.65,650.86,710.98
3.62,318.91,650.86,710.63
3.63,319.19,650.86,710.29
3.64,319.46,650.85,709.95
3.65,319.74,650.85,709.62
3.66,320.03,650.85,709.28
3.67,320.31,650.84,708.94
3.68,320.61,650.84,708.61
3.69,320.9,650.84,708.28
3.7,321.21,650.83,707.95
3.71,321.51,650.83,707.62
3.72,321.82,650.83,707.29
3.73,322.13,650.82,706.97
3.74,322.45,650.82,706.64
3.75,322.78,650.82,706.32
3.76,323.11,650.82,706
3.77,323.44,650.81,705.68
3.78,323.78,650.81,705.36
3.79,324.12,650.81,705.05
3.8,324.47,650.8,704.73
3.81,324.82,650.8,704.42
3.82,325.18,650.8,704.11
3.83,325.54,650.79,703.8
3.84,325.91,650.79,703.49
3.85,326.28,650.79,703.19
3.86,326.66,650.78,702.88
3.87,327.05,650.78,702.58
3.88,327.44,650.78,702.28
3.89,327.83,650.78,701.98
3.9,328.23,650.77,701.68
3.91,328.64,650.77,701.39
3.92,329.05,650.77,701.1
3.93,329.47,650.76,700.8
3.94,329.89,650.76,700.51
3.95,330.32,650.76,700.23
3.96,330.76,650.75,699.94
3.97,331.2,650.75,699.65
3.98,331.65,650.75,699.37
3.99,332.1,650.74,699.09
4,332.56,650.74,698.81
4.01,333.03,650.74,698.53
4.02,333.5,650.74,698.26
4.03,333.97,650.73,697.99
4.04,334.46,650.73,697.71
4.05,334.95,650.73,697.44
4.06,335.44,650.72,697.18
4.07,335.94,650.72,696.91
4.08,336.45,650.72,696.65
4.09,336.96,650.71,696.38
4.1,337.48,650.71,696.12
4.11,338.01,650.71,695.87
4.12,338.54,650.7,695.61
4.13,339.07,650.7,695.36
4.14,339.62,650.7,695.1
4.15,340.16,650.7,694.85
4.16,340.72,650.69,694.6
4.17,341.28,650.69,694.36
4.18,341.85,650.69,694.11
4.19,342.42,650.68,693.87
