x,OC,CS,NC
2.01,296.305,443.967,424.124
2.02,297.678,444.961,424.667
2.03,299.049,445.919,425.206
2.04,300.421,446.842,425.739
2.05,301.792,447.729,426.267
2.06,303.162,448.58,426.789
2.07,304.532,449.396,427.306
2.08,305.901,450.177,427.818
2.09,307.269,450.924,428.325
2.1,308.636,451.639,428.827
2.11,310.002,452.321,429.323
2.12,311.367,452.973,429.814
2.13,312.731,453.596,430.3
2.14,314.094,454.191,430.781
2.15,315.455,454.759,431.257
2.16,316.815,455.301,431.728
2.17,318.173,455.819,432.193
2.18,319.53,456.314,432.654
2.19,320.886,456.787,433.109
2.2,322.239,457.24,433.56
2.21,323.591,457.673,434.006
2.22,324.942,458.087,434.447
2.23,326.29,458.484,434.883
2.24,327.637,458.864,435.314
2.25,328.982,459.229,435.74
2.26,330.325,459.579,436.161
2.27,331.666,459.915,436.578
2.28,333.006,460.238,436.99
2.29,334.343,460.549,437.398
2.3,335.678,460.848,437.8
2.31,337.011,461.136,438.199
2.32,338.342,461.413,438.592
2.33,339.67,461.68,438.981
2.34,340.997,461.938,439.366
2.35,342.321,462.187,439.746
2.36,343.644,462.427,440.122
2.37,344.964,462.66,440.494
2.38,346.282,462.885,440.861
2.39,347.597,463.102,441.224
2.4,348.91,463.313,441.583
2.41,350.221,463.518,441.937
2.42,351.528,463.716,442.288
2.43,352.833,463.908,442.634
2.44,354.135,464.095,442.976
2.45,355.433,464.276,443.315
2.46,356.729,464.453,443.649
2.47,358.02,464.624,443.979
2.48,359.308,464.791,444.306
2.49,360.593,464.954,444.628
2.5,361.873,465.113,444.947
2.51,363.149,465.267,445.262
2.52,364.422,465.418,445.573
2.53,365.69,465.565,445.881
2.54,366.954,465.709,446.185
2.55,368.213,465.849,446.485
2.56,369.468,465.986,446.782
2.57,370.718,466.121,447.075
2.58,371.964,466.252,447.365
2.59,373.204,466.38,447.651
2.6,374.44,466.506,447.934
2.61,375.671,466.63,448.214
2.62,376.897,466.751,448.49
2.63,378.117,466.869,448.763
2.64,379.332,466.986,449.033
2.65,380.542,467.1,449.299
2.66,381.746,467.212,449.562
2.67,382.945,467.322,449.823
2.68,384.139,467.431,450.08
2.69,385.326,467.537,450.334
2.7,386.508,467.642,450.585
2.71,387.684,467.745,450.833
2.72,388.855,467.847,451.078
2.73,390.019,467.947,451.32
2.74,391.177,468.046,451.559
2.75,392.329,468.143,451.796
2.76,393.476,468.238,452.03
2.77,394.615,468.333,452.261
2.78,395.749,468.426,452.489
2.79,396.876,468.518,452.716
2.8,397.997,468.609,452.939
2.81,399.112,468.699,453.16
2.82,400.219,468.787,453.379
2.83,401.321,468.875,453.595
2.84,402.416,468.961,453.809
2.85,403.504,469.047,454.021
2.86,404.585,469.132,454.23
2.87,405.66,469.215,454.437
2.88,406.727,469.298,454.642
2.89,407.788,469.38,454.845
2.9,408.842,469.462,455.045
2.91,409.889,469.542,455.244
2.92,410.929,469.622,455.441
2.93,411.962,469.701,455.635
2.94,412.987,469.78,455.828
2.95,414.006,469.857,456.018
2.96,415.017,469.935,456.207
2.97,416.021,470.011,456.394
2.98,417.018,470.087,456.579
2.99,418.007,470.162,456.762
3,418.989,470.237,456.944
3.01,419.963,470.311,457.123
3.02,420.93,470.385,457.301
3.03,421.89,470.458,457.477
3.04,422.842,470.531,457.652
3.05,423.786,470.603,457.824
3.06,424.723,470.675,457.996
3.07,425.652,470.746,458.165
3.08,426.573,470.817,458.333
3.09,427.486,470.888,458.5
3.1,428.392,470.958,458.665
3.11,429.289,471.027,458.828
3.12,430.179,471.096,458.99
3.13,431.061,471.165,459.151
3.14,431.935,471.233,459.31
3.15,432.801,471.301,459.467
3.16,433.659,471.368,459.623
3.17,434.509,471.435,459.778
3.18,435.35,471.502,459.932
3.19,436.184,471.568,460.084
3.2,437.009,471.634,460.235
3.21,437.826,471.699,460.384
3.22,438.635,471.764,460.532
3.23,439.436,471.829,460.679
3.24,440.228,471.893,460.825
3.25,441.012,471.958,460.969
3.26,441.787,472.021,461.113
3.27,442.554,472.085,461.255
3.28,443.313,472.148,461.396
3.29,444.063,472.21,461.535
3.3,444.804,472.273,461.674
3.31,445.537,472.335,461.812
3.32,446.262,472.397,461.948
3.33,446.977,472.458,462.083
3.34,447.685,472.519,462.217
3.35,448.383,472.58,462.351
3.36,449.074,472.641,462.483
3.37,449.756,472.701,462.614
3.38,450.43,472.761,462.744
3.39,451.096,472.821,462.873
3.4,451.754,472.88,463.001
3.41,452.404,472.939,463.128
3.42,453.047,472.998,463.254
3.43,453.682,473.057,463.379
3.44,454.31,473.115,463.503
3.45,454.931,473.173,463.627
3.46,455.544,473.231,463.749
3.47,456.15,473.288,463.871
3.48,456.749,473.346,463.991
3.49,457.341,473.403,464.111
3.5,457.927,473.459,464.23
3.51,458.505,473.516,464.348
3.52,459.077,473.572,464.465
3.53,459.642,473.628,464.582
3.54,460.201,473.684,464.697
3.55,460.754,473.74,464.812
3.56,461.3,473.795,464.926
3.57,461.84,473.85,465.039
3.58,462.374,473.905,465.152
3.59,462.902,473.959,465.263
3.6,463.423,474.014,465.374
3.61,463.939,474.068,465.484
3.62,464.45,474.122,465.594
3.63,464.954,474.176,465.702
3.64,465.453,474.229,465.811
3.65,465.946,474.282,465.918
3.66,466.433,474.335,466.025
3.67,466.916,474.388,466.131
3.68,467.392,474.441,466.236
3.69,467.864,474.493,466.34
3.7,468.33,474.545,466.445
3.71,468.791,474.597,466.548
3.72,469.247,474.649,466.651
3.73,469.698,474.701,466.753
3.74,470.144,474.752,466.854
3.75,470.586,474.803,466.955
3.76,471.022,474.854,467.055
3.77,471.454,474.905,467.155
3.78,471.88,474.956,467.254
3.79,472.303,475.006,467.353
3.8,472.72,475.056,467.451
3.81,473.133,475.106,467.548
3.82,473.542,475.156,467.645
3.83,473.946,475.206,467.742
3.84,474.346,475.255,467.838
3.85,474.742,475.305,467.933
3.86,475.133,475.354,468.028
3.87,475.521,475.403,468.122
3.88,475.904,475.451,468.216
3.89,476.283,475.5,468.309
3.9,476.658,475.548,468.402
3.91,477.029,475.596,468.494
3.92,477.397,475.644,468.586
3.93,477.76,475.692,468.678
3.94,478.12,475.74,468.769
3.95,478.476,475.787,468.859
3.96,478.828,475.834,468.949
3.97,479.177,475.882,469.039
3.98,479.522,475.929,469.128
3.99,479.863,475.975,469.217
4,480.201,476.022,469.306
4.01,480.536,476.068,469.394
4.02,480.867,476.115,469.481
4.03,481.195,476.161,469.568
4.04,481.52,476.207,469.655
4.05,481.841,476.252,469.742
4.06,482.16,476.298,469.828
4.07,482.475,476.343,469.913
4.08,482.787,476.389,469.998
4.09,483.096,476.434,470.083
4.1,483.402,476.479,470.167
4.11,483.705,476.524,470.251
4.12,484.005,476.568,470.335
4.13,484.303,476.613,470.418
4.14,484.598,476.657,470.501
4.15,484.89,476.701,470.583
4.16,485.179,476.745,470.665
4.17,485.465,476.789,470.747
4.18,485.749,476.833,470.828
4.19,486.031,476.876,470.909
4.2,486.31,476.92,470.989
4.21,486.586,476.963,471.069
4.22,486.86,477.006,471.149
4.23,487.132,477.049,471.228
4.24,487.401,477.092,471.307
4.25,487.668,477.134,471.386
4.26,487.933,477.177,471.464
4.27,488.196,477.219,471.541
4.28,488.456,477.261,471.619
4.29,488.715,477.303,471.696
4.3,488.971,477.345,471.772
4.31,489.226,477.387,471.849
4.32,489.478,477.428,471.925
4.33,489.729,477.47,472
4.34,489.977,477.511,472.075
4.35,490.224,477.552,472.15
4.36,490.469,477.593,472.224
4.37,490.712,477.634,472.298
4.38,490.954,477.675,472.372
4.39,491.194,477.715,472.445
4.4,491.433,477.756,472.518
4.41,491.67,477.796,472.591
4.42,491.905,477.836,472.663
4.43,492.139,477.876,472.735
4.44,492.372,477.916,472.806
4.45,492.603,477.956,472.877
4.46,492.833,477.995,472.948
4.47,493.062,478.035,473.019
4.48,493.289,478.074,473.089
4.49,493.516,478.113,473.158
4.5,493.74,478.152,473.228
4.51,493.964,478.191,473.297
4.52,494.186,478.23,473.365
4.53,494.407,478.269,473.434
4.54,494.626,478.307,473.502
4.55,494.843,478.345,473.569
