x,NC,CS,OC
44.4,1369.48,824.62,400.05
44.5,1369.69,824.73,400.03
44.6,1369.9,824.83,400
44.7,1370.09,824.94,399.98
44.8,1370.27,825.04,399.95
44.9,1370.44,825.14,399.93
45,1370.6,825.24,399.91
45.1,1370.75,825.35,399.88
45.2,1370.89,825.45,399.86
45.3,1371.02,825.54,399.84
45.4,1371.14,825.64,399.82
45.5,1371.26,825.74,399.8
45.6,1371.36,825.84,399.78
45.7,1371.45,825.93,399.76
45.8,1371.54,826.03,399.74
45.9,1371.62,826.12,399.72
46,1371.69,826.22,399.7
46.1,1371.76,826.31,399.69
46.2,1371.81,826.4,399.67
46.3,1371.86,826.5,399.65
46.4,1371.9,826.59,399.63
46.5,1371.94,826.68,399.62
46.6,1371.97,826.77,399.6
46.7,1371.99,826.86,399.59
46.8,1372.01,826.95,399.57
46.9,1372.02,827.04,399.56
47,1372.03,827.13,399.54
47.1,1372.03,827.21,399.53
47.2,1372.03,827.3,399.51
47.3,1372.02,827.39,399.5
47.4,1372.01,827.47,399.49
47.5,1371.99,827.56,399.47
47.6,1371.96,827.65,399.46
47.7,1371.94,827.73,399.45
47.8,1371.91,827.82,399.44
47.9,1371.87,827.9,399.42
48,1371.83,827.99,399.41
48.1,1371.79,828.07,399.4
48.2,1371.75,828.15,399.39
48.3,1371.7,828.24,399.38
48.4,1371.65,828.32,399.37
48.5,1371.59,828.4,399.36
48.6,1371.53,828.48,399.35
48.7,1371.48,828.57,399.34
48.8,1371.41,828.65,399.32
48.9,1371.35,828.73,399.31
49,1371.28,828.81,399.3
49.1,1371.22,828.89,399.29
49.2,1371.15,828.98,399.28
49.3,1371.08,829.06,399.28
49.4,1371,829.14,399.27
49.5,1370.93,829.22,399.26
49.6,1370.86,829.3,399.25
49.7,1370.78,829.38,399.24
49.8,1370.7,829.46,399.23
49.9,1370.63,829.54,399.22
50,1370.55,829.62,399.21
50.1,1370.47,,
50.1729,1370.42,,
